row,merchant_id,merchant_name,segmentation
551,,,T20
552,,,T20
553,,,T20
554,,,T20
555,,,T20
556,,,T20
557,,,T20
558,,,T20
559,,,T20
560,,,T20
561,,,T20
562,,,T20
563,,,T20
564,,,T20
565,,,T20
566,,,T20
567,,,T20
568,,,T20 (T3 - C1)
569,,,No
570,,,T20
571,,,T20
572,,,T20
573,,,T20
574,,,T20
575,,,T20
576,,,T20
577,,,T20
578,,,No
579,,,T20
580,,,No
581,,,No
582,,,T20
583,,,T20
584,,,T20
585,,,T20
586,,,T20
587,,,T20
588,,,No
589,,,T20
590,,,T20
591,,,T20
592,,,T20
593,,,T20
594,,,T20 (T3 - A2)
595,,,T20
596,,,T20
597,,,T20
598,,,T20
599,,,T20 (T3 - A1)
600,,,T20
601,,,T20
602,,,T20 (T3 - A2)
603,,,T20
604,,,T20
605,,,T20
606,,,T20
607,,,T20
608,,,No
609,,,T20
610,,,T20
611,,,T20
612,,,T20
613,,,No
614,,,T20
615,,,T20
616,,,T20
617,,,No
618,,,T20
619,,,T20
620,,,T20 (T3 - B1)
621,,,T20
622,,,T20
623,,,T20
624,,,T20
625,,,T20
626,,,No
627,,,T20
628,,,T20
629,,,T20 (T3 - A1)
630,,,T20
631,,,No
632,,,T20
633,,,T20
634,,,No
635,,,T20
636,,,T20
637,,,T20 (T3 - A1)
638,,,T20
639,,,T20
640,,,T20
641,,,T20
642,,,T20
643,,,T20
644,,,T20
645,,,T20
646,,,T20
647,,,T20
648,,,T20
649,,,T20
650,,,T20
651,,,T20
652,,,T20
653,,,No
654,,,No
655,,,T20
656,,,T20
657,,,T20
658,,,T20 (T3 - A1)
659,,,T20
660,,,T20
661,,,T20
662,,,T20
663,,,T20
664,,,T20 (T3 - A2)
665,,,T20 (T3 - B1)
666,,,T20
667,,,T20
668,,,T20
669,,,T20
670,,,No
671,,,T20
672,,,T20
673,,,T20
674,,,No
675,,,T20
676,,,T20
677,,,T20
678,,,T20
679,,,T20
680,,,T20
681,,,T20
682,,,T20 (T3 - B2)
683,,,T20
684,,,T20
685,,,T20
686,,,T20
687,,,T20
688,,,No
689,,,T20
690,,,T20
691,,,T20
692,,,T20
693,,,T20
694,,,T20
695,,,T20
696,,,T20 (T3 - B2)
697,,,T20
698,,,T20 (T3 - A1)
699,,,T20
700,,,T20
701,,,T20
702,,,T20
703,,,T20
704,,,T20
705,,,T20
706,,,T20
707,,,T20
708,,,T20
709,,,T20
710,,,T20
711,,,No
712,,,T20
713,,,T20
714,,,T20
715,,,T20
716,,,No
717,,,T20
718,,,T20
719,,,T20
720,,,T20
721,,,T20
722,,,T20
723,,,No
724,,,T20
725,,,T20
726,,,T20
727,,,T20
728,,,T20
729,,,T20 (T3 - A2)
730,,,T20
731,,,T20
732,,,T20
733,,,T20
734,,,No
735,,,T20
736,,,T20
737,,,T20
738,,,T20
739,,,T20
740,,,T20
741,,,T20
742,,,T20
743,,,T20
744,,,T20
745,,,T20
746,,,T20
747,,,No
748,,,T20
749,,,T20
750,,,T20
751,,,T20
752,,,No
753,,,T20
754,,,T20
755,,,T20
756,,,No
757,,,T20
758,,,T20
759,,,T20
760,,,T20
761,,,No
762,,,No
763,,,T20
764,,,T20
765,,,T20
766,,,T20
767,,,T20
768,,,T20
769,,,T20
770,,,T20
771,,,No
772,,,T20
773,,,T20
774,,,T20
775,,,T20
776,,,T20
777,,,No
778,,,T20
779,,,T20
780,,,T20
781,,,T20
782,,,T20
783,,,T20
784,,,T20 (T3 - B1)
785,,,T20
786,,,T20
787,,,T20
788,,,T20
789,,,T20
790,,,T20
791,,,T20
792,,,No
793,,,T20
794,,,T20
795,,,T20
796,,,No
797,,,No
798,,,T20
799,,,T20
800,,,T20
801,,,T20
802,,,No
803,,,T20
804,,,T20
805,,,No
806,,,T20
807,,,T20
808,,,T20
809,,,T20
810,,,T20
811,,,T20
812,,,T20
813,,,T20 (T3 - A2)
814,,,T20
815,,,T20
816,,,T20
817,,,T20
818,,,T20
819,,,T20
820,,,No
821,,,T20
822,,,T20
823,,,T20
824,,,T20
825,,,No
826,,,T20
827,,,T20
828,,,T20
829,,,T20
830,,,T20
831,,,T20
832,,,T20
833,,,T20
834,,,T20
835,,,T20
836,,,T20
837,,,T20
838,,,T20
839,,,T20
840,,,T20
841,,,No
842,,,T20
843,,,No
844,,,T20
845,,,T20
846,,,No
847,,,T20
848,,,T20
849,,,T20
850,,,T20
851,,,T20
852,,,T20
853,,,T20
854,,,No
